month,c_resid,indic_to,geo_layer,Year,Value
M02,FOR,NGT_SP,NUT1,2023,20057733.0
M02,FOR,NGT_SP,NUT2,2018,12558150.0
M02,FOR,NGT_SP,NUT2,2019,14429494.0
M02,FOR,NGT_SP,NUT2,2020,17319490.0
M02,FOR,NGT_SP,NUT2,2021,2251364.0
M02,FOR,NGT_SP,NUT2,2022,13358630.0
M02,FOR,NGT_SP,NUT2,2023,20057733.0
M02,FOR,NGT_SP,[EU27_2020],2018,11962462.0
M02,FOR,NGT_SP,[EU27_2020],2019,13795579.0
M02,FOR,NGT_SP,[EU27_2020],2020,16541622.0
M02,FOR,NGT_SP,[EU27_2020],2021,2072333.0
M02,FOR,NGT_SP,[EU27_2020],2022,12767664.0
M02,FOR,NGT_SP,[EU27_2020],2023,19238922.0
M02,FOR,STY,Country,2018,1038420.0
M02,FOR,STY,Country,2019,1216943.0
M02,FOR,STY,Country,2020,1435569.0
M02,FOR,STY,Country,2021,140002.0
M02,FOR,STY,Country,2022,971350.0
M02,FOR,STY,Country,2023,1496491.0
M02,FOR,STY,NUT1,2018,1038420.0
M02,FOR,STY,NUT1,2019,1216943.0
M02,FOR,STY,NUT1,2020,1435569.0
M02,FOR,STY,NUT1,2021,140002.0
M02,FOR,STY,NUT1,2022,971350.0
M02,FOR,STY,NUT1,2023,1496491.0
M02,FOR,STY,NUT2,2018,1038420.0
M02,FOR,STY,NUT2,2019,1216943.0
M02,FOR,STY,NUT2,2020,1435569.0
M02,FOR,STY,NUT2,2021,140002.0
M02,FOR,STY,NUT2,2022,971350.0
M02,FOR,STY,NUT2,2023,1496491.0
M02,FOR,STY,[EU27_2020],2018,977919.0
M02,FOR,STY,[EU27_2020],2019,1152328.0
M02,FOR,STY,[EU27_2020],2020,1364682.0
M02,FOR,STY,[EU27_2020],2021,128677.0
M02,FOR,STY,[EU27_2020],2022,926298.0
M02,FOR,STY,[EU27_2020],2023,1424790.0
M03,DOM,LSTY,Country,2018,2964141.0
M03,DOM,LSTY,Country,2019,3284713.0
M03,DOM,LSTY,Country,2020,2204320.0
M03,DOM,LSTY,Country,2021,3144576.0
M03,DOM,LSTY,Country,2022,4598680.0
M03,DOM,LSTY,Country,2023,5295822.0
M03,DOM,LSTY,NUT1,2018,2964141.0
M03,DOM,LSTY,NUT1,2019,3284713.0
M03,DOM,LSTY,NUT1,2020,2204320.0
M03,DOM,LSTY,NUT1,2021,3144576.0
M03,DOM,LSTY,NUT1,2022,4598680.0
M03,DOM,LSTY,NUT1,2023,5295822.0
M03,DOM,LSTY,NUT2,2018,2964141.0
M03,DOM,LSTY,NUT2,2019,3284713.0
M03,DOM,LSTY,NUT2,2020,2204320.0
M03,DOM,LSTY,NUT2,2021,3144576.0
M03,DOM,LSTY,NUT2,2022,4598680.0
M03,DOM,LSTY,NUT2,2023,5295822.0
M03,DOM,LSTY,[EU27_2020],2018,2889872.0
M03,DOM,LSTY,[EU27_2020],2019,3202309.0
M03,DOM,LSTY,[EU27_2020],2020,2136655.0
M03,DOM,LSTY,[EU27_2020],2021,3020626.0
M03,DOM,LSTY,[EU27_2020],2022,4473594.0
M03,DOM,LSTY,[EU27_2020],2023,5175432.0
M03,DOM,NGT_SP,Country,2018,8276579.0
M03,DOM,NGT_SP,Country,2019,8525223.0
M03,DOM,NGT_SP,Country,2020,5098690.0
M03,DOM,NGT_SP,Country,2021,7387356.0
M03,DOM,NGT_SP,Country,2022,11296404.0
M03,DOM,NGT_SP,Country,2023,13185380.0
M03,DOM,NGT_SP,NUT1,2018,8276579.0
M03,DOM,NGT_SP,NUT1,2019,8525223.0
M03,DOM,NGT_SP,NUT1,2020,5098690.0
M03,DOM,NGT_SP,NUT1,2021,7387356.0
M03,DOM,NGT_SP,NUT1,2022,11296404.0
M03,DOM,NGT_SP,NUT1,2023,13185380.0
M03,DOM,NGT_SP,NUT2,2018,8276579.0
M03,DOM,NGT_SP,NUT2,2019,8525223.0
M03,DOM,NGT_SP,NUT2,2020,5098690.0
M03,DOM,NGT_SP,NUT2,2021,7387356.0
M03,DOM,NGT_SP,NUT2,2022,11296404.0
M03,DOM,NGT_SP,NUT2,2023,13185380.0
M03,DOM,NGT_SP,[EU27_2020],2018,8066088.0
M03,DOM,NGT_SP,[EU27_2020],2019,8299602.0
M03,DOM,NGT_SP,[EU27_2020],2020,4940551.0
M03,DOM,NGT_SP,[EU27_2020],2021,7057007.0
M03,DOM,NGT_SP,[EU27_2020],2022,10951527.0
M03,DOM,NGT_SP,[EU27_2020],2023,12862152.0
M03,DOM,STY,Country,2018,1009504.0
M03,DOM,STY,Country,2019,1169877.0
M03,DOM,STY,Country,2020,599787.0
M03,DOM,STY,Country,2021,941161.0
M03,DOM,STY,Country,2022,1388455.0
M03,DOM,STY,Country,2023,1782476.0
M03,DOM,STY,NUT1,2018,1009504.0
M03,DOM,STY,NUT1,2019,1169877.0
M03,DOM,STY,NUT1,2020,599787.0
M03,DOM,STY,NUT1,2021,941161.0
M03,DOM,STY,NUT1,2022,1388455.0
M03,DOM,STY,NUT1,2023,1782476.0
M03,DOM,STY,NUT2,2018,1009504.0
M03,DOM,STY,NUT2,2019,1169877.0
M03,DOM,STY,NUT2,2020,599787.0
M03,DOM,STY,NUT2,2021,941161.0
M03,DOM,STY,NUT2,2022,1388455.0
M03,DOM,STY,NUT2,2023,1782476.0
M03,DOM,STY,[EU27_2020],2018,987837.0
M03,DOM,STY,[EU27_2020],2019,1146177.0
M03,DOM,STY,[EU27_2020],2020,584533.0
M03,DOM,STY,[EU27_2020],2021,909938.0
M03,DOM,STY,[EU27_2020],2022,1358030.0
M03,DOM,STY,[EU27_2020],2023,1748543.0
M03,FOR,LSTY,Country,2018,5730442.0
M03,FOR,LSTY,Country,2019,6120363.0
M03,FOR,LSTY,Country,2020,3013956.0
M03,FOR,LSTY,Country,2021,1297307.0
M03,FOR,LSTY,Country,2022,6341612.0
M03,FOR,LSTY,Country,2023,8158325.0
M03,FOR,LSTY,NUT1,2018,5730442.0
M03,FOR,LSTY,NUT1,2019,6120363.0
M03,FOR,LSTY,NUT1,2020,3013956.0
M03,FOR,LSTY,NUT1,2021,1297307.0
M03,FOR,LSTY,NUT1,2022,6341612.0
M03,FOR,LSTY,NUT1,2023,8158325.0
M03,FOR,LSTY,NUT2,2018,5730442.0
M03,FOR,LSTY,NUT2,2019,6120363.0
M03,FOR,LSTY,NUT2,2020,3013956.0
M03,FOR,LSTY,NUT2,2021,1297307.0
M03,FOR,LSTY,NUT2,2022,6341612.0
M03,FOR,LSTY,NUT2,2023,8158325.0
M03,FOR,LSTY,[EU27_2020],2018,5488373.0
M03,FOR,LSTY,[EU27_2020],2019,5868858.0
M03,FOR,LSTY,[EU27_2020],2020,2876119.0
M03,FOR,LSTY,[EU27_2020],2021,1203681.0
M03,FOR,LSTY,[EU27_2020],2022,6112696.0
M03,FOR,LSTY,[EU27_2020],2023,7866443.0
M03,FOR,NGT_SP,Country,2018,16241084.0
M03,FOR,NGT_SP,Country,2019,16393493.0
M03,FOR,NGT_SP,Country,2020,7304344.0
M03,FOR,NGT_SP,Country,2021,2646310.0
M03,FOR,NGT_SP,Country,2022,15940488.0
M03,FOR,NGT_SP,Country,2023,21148833.0
M03,FOR,NGT_SP,NUT1,2018,16241084.0
M03,FOR,NGT_SP,NUT1,2019,16393493.0
M03,FOR,NGT_SP,NUT1,2020,7304344.0
M03,FOR,NGT_SP,NUT1,2021,2646310.0
M03,FOR,NGT_SP,NUT1,2022,15940488.0
M03,FOR,NGT_SP,NUT1,2023,21148833.0
M03,FOR,NGT_SP,NUT2,2018,16241084.0
M03,FOR,NGT_SP,NUT2,2019,16393493.0
M03,FOR,NGT_SP,NUT2,2020,7304344.0
M03,FOR,NGT_SP,NUT2,2021,2646310.0
M03,FOR,NGT_SP,NUT2,2022,15940488.0
M03,FOR,NGT_SP,NUT2,2023,21148833.0
M03,FOR,NGT_SP,[EU27_2020],2018,15562397.0
M03,FOR,NGT_SP,[EU27_2020],2019,15709976.0
M03,FOR,NGT_SP,[EU27_2020],2020,6972115.0
M03,FOR,NGT_SP,[EU27_2020],2021,2424811.0
M03,FOR,NGT_SP,[EU27_2020],2022,15349754.0
M03,FOR,NGT_SP,[EU27_2020],2023,20388950.0
M03,FOR,STY,Country,2018,1462027.0
M03,FOR,STY,Country,2019,1546867.0
M03,FOR,STY,Country,2020,565625.0
M03,FOR,STY,Country,2021,173567.0
M03,FOR,STY,Country,2022,1264982.0
M03,FOR,STY,Country,2023,1834042.0
M03,FOR,STY,NUT1,2018,1462027.0
M03,FOR,STY,NUT1,2019,1546867.0
M03,FOR,STY,NUT1,2020,565625.0
M03,FOR,STY,NUT1,2021,173567.0
M03,FOR,STY,NUT1,2022,1264982.0
M03,FOR,STY,NUT1,2023,1834042.0
M03,FOR,STY,NUT2,2018,1462027.0
M03,FOR,STY,NUT2,2019,1546867.0
M03,FOR,STY,NUT2,2020,565625.0
M03,FOR,STY,NUT2,2021,173567.0
M03,FOR,STY,NUT2,2022,1264982.0
M03,FOR,STY,NUT2,2023,1834042.0
M03,FOR,STY,[EU27_2020],2018,1384937.0
M03,FOR,STY,[EU27_2020],2019,1469343.0
M03,FOR,STY,[EU27_2020],2020,532302.0
M03,FOR,STY,[EU27_2020],2021,158257.0
M03,FOR,STY,[EU27_2020],2022,1210904.0
M03,FOR,STY,[EU27_2020],2023,1754048.0
M04,DOM,LSTY,Country,2018,3204809.0
M04,DOM,LSTY,Country,2019,4458153.0
M04,DOM,LSTY,Country,2020,773933.0
M04,DOM,LSTY,Country,2021,2876896.0
M04,DOM,LSTY,Country,2022,6463690.0
M04,DOM,LSTY,Country,2023,7829287.0
M04,DOM,LSTY,NUT1,2018,3204809.0
M04,DOM,LSTY,NUT1,2019,4458153.0
M04,DOM,LSTY,NUT1,2020,773933.0
M04,DOM,LSTY,NUT1,2021,2876896.0
M04,DOM,LSTY,NUT1,2022,6463690.0
M04,DOM,LSTY,NUT1,2023,7829287.0
M04,DOM,LSTY,NUT2,2018,3204809.0
M04,DOM,LSTY,NUT2,2019,4458153.0
M04,DOM,LSTY,NUT2,2020,773933.0
M04,DOM,LSTY,NUT2,2021,2876896.0
M04,DOM,LSTY,NUT2,2022,6463690.0
M04,DOM,LSTY,NUT2,2023,7829287.0
M04,DOM,LSTY,[EU27_2020],2018,3149465.0
M04,DOM,LSTY,[EU27_2020],2019,4388725.0
M04,DOM,LSTY,[EU27_2020],2020,729959.0
M04,DOM,LSTY,[EU27_2020],2021,2722792.0
M04,DOM,LSTY,[EU27_2020],2022,6340647.0
M04,DOM,LSTY,[EU27_2020],2023,7700949.0
M04,DOM,NGT_SP,Country,2018,9074806.0
M04,DOM,NGT_SP,Country,2019,13250400.0
M04,DOM,NGT_SP,Country,2020,1488533.0
M04,DOM,NGT_SP,Country,2021,6928398.0
M04,DOM,NGT_SP,Country,2022,18211607.0
M04,DOM,NGT_SP,Country,2023,22536401.0
M04,DOM,NGT_SP,NUT1,2018,9074806.0
M04,DOM,NGT_SP,NUT1,2019,13250400.0
M04,DOM,NGT_SP,NUT1,2020,1488533.0
